CODI,Castellà,Català,Tipus de contracte
37451340-9,Equipo para flag fútbol,Equips de futbol flag ,Subministraments
37451400-8,Pelotas de lacrosse,Pilotes de lacrosse,Subministraments
37451500-9,Palos de lacrosse,Bastons de lacrosse,Subministraments
37451600-0,Máquinas lanzapelotas,Màquines llançapilotes,Subministraments
37451700-1,Balones de fútbol,Pilotes de futbol,Subministraments
37451710-4,Equipo de marcado de campos de fútbol,Equip de marcatge de camps de futbol,Subministraments
37451720-7,Equipo de protección para fútbol,Equips de protecció de futbol,Subministraments
37451730-0,Material de formación para fútbol,Material de formació de futbol,Subministraments
37451800-2,Pelotas de sófbol,Pilotes de softbol,Subministraments
37451810-5,Bates de sófbol,Bats de softbol,Subministraments
37451820-8,Guantes de sófbol,Guants de softbol,Subministraments
37451900-3,Balones de balonmano,Pilotes d'handbol,Subministraments
37451920-9,Juegos escolares para balonmano,Equips escolars per a l'handbol,Subministraments
37452000-1,Equipo para deportes de raqueta y cancha,Equips d'esports de raqueta i de pista,Subministraments
37452100-2,Equipo de bádminton,Equip de bàdminton,Subministraments
37452110-5,Volantes o plumas de bádminton,Volants de bàdminton,Subministraments
37452120-8,Raquetas de bádminton,Raquetes de bàdminton,Subministraments
37452200-3,Balones de baloncesto,Pilotes de bàsquet,Subministraments
37452210-6,Sistemas de juego completos de baloncesto,Sistemes de joc complets de bàsquet,Subministraments
37452300-4,Equipo de protección para floorball,Equip de protecció d'hoquei pista,Subministraments
37452400-5,"Pelotas, mangos y cuerdas para raquetbol","Pilotes, empunyadures i cordes de raquetbol",Subministraments
37452410-8,Pelotas de raquetbol,Pilotes de raquetbol,Subministraments
37452420-1,Mangos para raquetbol,Empunyadures de raquetbol,Subministraments
37452430-4,Cuerdas para raquetbol,Cordes de raquetbol,Subministraments
37452500-6,Raquetas para raquetbol,Raquetes de raquetbol,Subministraments
37452600-7,Equipo de squash,Equip d'esquaix,Subministraments
37452610-0,Pelotas de squash,Pilotes d'esquaix,Subministraments
37452620-3,Raquetas de squash,Raquetes d'esquaix,Subministraments
37452700-8,Equipo de tenis,Equip de tennis,Subministraments
37452710-1,Pelotas de tenis,Pilotes de tennis,Subministraments
37452720-4,Equipo para canchas de tenis,Material de pistes de tennis,Subministraments
37452730-7,Raquetas de tenis,Raquetes de tennis,Subministraments
37452740-0,Material de formación para tenis,Ajut a la formació de tennis,Subministraments
37452800-9,Pelotas y postes para tetherball,"Pilotes i pals de ""tetherball""",Subministraments
37452810-2,Pelotas para tetherball,"Pilotes de ""tetherball""",Subministraments
37452820-5,Postes para tetherball,"Pals de ""tetherball""",Subministraments
37452900-0,Pelotas de voleibol,Pilotes de voleibol,Subministraments
37452910-3,Postes de voleibol para gimnasio,Pals de voleibol per a gimnàs,Subministraments
37452920-6,Material para el almacenamiento de pelotas y redes de voleibol,Material d'emmagatzematge de pilotes i xarxes de voleibol,Subministraments
37453000-8,Equipo de atletismo,Equip d'atletisme,Subministraments
37453100-9,Jabalinas,Javelines,Subministraments
37453200-0,Barras de salto,Llistons per a salts,Subministraments
37453300-1,Discos de lanzamiento,Discos de llançament,Subministraments
37453400-2,Bolas de lanzamiento de peso,Boles de llançament de pes,Subministraments
37453500-3,Pértigas,Perxes,Subministraments
37453600-4,Vallas para saltos,Tanques per a salts,Subministraments
37453700-5,Testigos,Testimonis,Subministraments
37460000-0,Juegos de tiro y mesa y sus equipos,Equips de jocs de tir i de taula,Subministraments
37461000-7,Juegos de mesa y sus equipos,Jocs de taula i els seus equips,Subministraments
37461100-8,Mesas y accesorios para hockey aéreo,Taules i accessoris d'hoquei d'aire,Subministraments
37461200-9,Bolas de futbolín,Boles de futbolí,Subministraments
37461210-2,Jugadores de repuesto para futbolín,Jugadors de recanvi de futbolí,Subministraments
37461220-5,Mesas de futbolín,Taules de futbolí,Subministraments
37461300-0,Tacos de billar,Tacs de billar,Subministraments
37461400-1,Equipo de juego de tejo,Equip de joc de palets,Subministraments
37461500-2,Mesas para tenis de mesa,Taules de tennis de taula,Subministraments
37461510-5,Pelotas de tenis de mesa,Pilotes de tennis de taula,Subministraments
37461520-8,Raquetas de tenis de mesa,Raquetes de tennis de taula,Subministraments
37462000-4,Juegos de tiro y sus equipos,Jocs de tir i els seus equips,Subministraments
37462100-5,Equipo de tiro con arco,Equip de tir amb arc,Subministraments
37462110-8,Protectores de brazo para el tiro con arco,Guardabraços de tir amb arc,Subministraments
37462120-1,Flechas de tiro con arco,Fletxes de tir amb arc,Subministraments
37462130-4,Parapetos para el tiro con arco,Pantalles de tir amb arc,Subministraments
37462140-7,Cuerdas de arco para el tiro con arco,Cordes d'arc de tir amb arc,Subministraments
37462150-0,Arcos para el tiro con arco,Arcs de tir amb arc,Subministraments
37462160-3,Guantes para el tiro con arco,Guants de tir amb arc,Subministraments
37462170-6,Soportes de diana para el tiro con arco,Suports de diana de tir amb arc,Subministraments
37462180-9,Dianas de tiro con arco,Dianes per al tir amb arc,Subministraments
37462200-6,Dardos,Dards,Subministraments
37462210-9,Dianas para dardos,Dianes per a dards,Subministraments
37462300-7,Dianas para lanzamiento,Dianes per a llançament,Subministraments
37462400-8,Equipo para tiro al plato,Equips de tir al plat,Subministraments
37470000-3,Equipo para golf y bolos,Equips de golf i bitlles,Subministraments
37471000-0,Equipo para golf,Equips de golf,Subministraments
37471100-1,Bolsas de golf,Bosses de golf,Subministraments
37471200-2,Bolas de golf,Boles de golf,Subministraments
37471300-3,Palos de golf,Bastons de golf,Subministraments
37471400-4,"""Tees"" de golf","Llocs de sortida de golf (""tees"")",Subministraments
37471500-5,Fundas de cabeza de palo de golf,Fundes del cap del bastó de golf,Subministraments
37471600-6,Guantes de golf,Guants de golf,Subministraments
37471700-7,"Herramientas de reparación de ""divots""",Eines de reparació de gleves,Subministraments
37471800-8,Medidor de distancias para golf,Mesurador de distàncies per al golf,Subministraments
37471900-9,"Dispositivo de práctica de ""putting""",Dispositiu per practicar el putt,Subministraments
37472000-7,Equipo para bolos,Equips de bitlles,Subministraments
37480000-6,Máquinas y aparatos para actividades de ocio,Màquines o aparells d'activitats d'oci,Subministraments
37481000-3,Maquinaria de mantenimiento del hielo,Màquines de manteniment del gel,Subministraments
37482000-0,Paneles de información deportiva,Panells d'informació esportiva,Subministraments
37500000-3,Juegos y juguetes; atracciones de feria,Jocs i joguines; atraccions de fira,Subministraments
37510000-6,Muñecas,Nines,Subministraments
37511000-3,Casas de muñecas,Cases de nines,Subministraments
37512000-0,Partes o accesorios de muñecas,Peces o accessoris de nines,Subministraments
37513000-7,Títeres,Titelles,Subministraments
37513100-8,Teatros de títeres,Teatres de titelles,Subministraments
37520000-9,Juguetes,Joguines,Subministraments
37521000-6,Instrumentos musicales de juguete,Instruments musicals de joguina,Subministraments
37522000-3,Juguetes con ruedas,Joguines amb rodes,Subministraments
37523000-0,Puzzles,Puzles,Subministraments
37524000-7,Juegos,Jocs,Subministraments
37524100-8,Juegos educativos,Jocs educatius,Subministraments
37524200-9,Juegos de tablero,Jocs de tauler,Subministraments
37524300-0,Juegos clásicos,Jocs clàssics,Subministraments
37524400-1,Juegos colaborativos,Jocs col·laboratius,Subministraments
37524500-2,Juegos de estrategia,Jocs d'estratègia,Subministraments
37524600-3,Juegos de memoria,Jocs de memòria,Subministraments
37524700-4,Accesorios para juegos,Accessoris de jocs,Subministraments
37524800-5,Juegos de lotería,Jocs de loteria,Subministraments
37524810-8,Boletos de lotería,Bitllets de loteria,Subministraments
37524900-6,Juegos reunidos,Assortiment de jocs,Subministraments
37525000-4,Globos y pelotas,Globus i pilotes,Subministraments
37526000-1,Cubos de juguete,Galledes de joguina,Subministraments
37527000-8,Trenes y vehículos de juguete,Trens i vehicles de joguina,Subministraments
37527100-9,Trenes de juguete,Trens de joguina,Subministraments
37527200-0,Vehículos de juguete,Vehicles de joguina,Subministraments
37528000-5,Armas de juguete,Armes de joguina,Subministraments
37529000-2,Juguetes hinchables y de montar,Joguines inflables i per muntar-hi,Subministraments
37529100-3,Juguetes hinchables,Joguines inflables,Subministraments
37529200-4,Juguetes de montar,Joguines per muntar-hi,Subministraments
37530000-2,"Artículos para parques de atracciones, juegos de mesa o de salón","Articles de parcs d'atraccions, jocs de taula o jocs de societat",Subministraments
37531000-9,Naipes,Naips,Subministraments
37532000-6,Videojuegos,Videojocs,Subministraments
37533000-3,Billares,Billars,Subministraments
37533100-4,Bolas de billar,Boles de billar,Subministraments
37533200-5,Tizas de billar,Guixos de billar,Subministraments
37533300-6,Puntas de taco de billar,Soles dels tacs de billar,Subministraments
37533400-7,Triángulos para bolas de billar,Triangles per a boles de billar,Subministraments
37533500-8,Mesas de billar,Taules de billar,Subministraments
37534000-0,Juegos accionados con monedas o fichas,Jocs accionats amb monedes o fitxes,Subministraments
37535000-7,"Tiovivos, columpios, casetas de tiro y otras atracciones de feria","Cavallets, gronxadors, casetes de tir i altres atraccions de fira",Subministraments
37535100-8,Columpios,Gronxadors,Subministraments
37535200-9,Equipamiento para terrenos de juego,Equipaments de parcs infantils,Subministraments
37535210-2,Columpios para parques infantiles,Gronxadors de parcs infantils,Subministraments
37535220-5,Aparatos para trepar para parques infantiles,Aparells per grimpar de parcs infantils,Subministraments
37535230-8,Tiovivos para parques infantiles,Cavallets de parcs infantils,Subministraments
37535240-1,Toboganes para parques infantiles,Tobogans de parcs infantils,Subministraments
37535250-4,Balancines para parques infantiles,Palanques de parcs infantils,Subministraments
37535260-7,Túneles para parques infantiles,Túnels de parcs infantils,Subministraments
37535270-0,Cajones de arena para parques infantiles,Sorrals de parcs infantils,Subministraments
37535280-3,Gradas para parques infantiles,Grades de parcs infantils,Subministraments
37535290-6,Equipo para trepar muros y cuerdas,Equip de grimpar murs i cordes,Subministraments
37535291-3,Equipo para trepar muros,Equip de grimpar murs,Subministraments
37535292-0,Equipo para trepar cuerdas,Equip de grimpar cordes,Subministraments
37540000-5,Máquinas de juego,Màquines de joc,Subministraments
37800000-6,Artículos para trabajos artesanales y artísticos,Articles per a treballs artesanals i artístics,Subministraments
37810000-9,Artículos para trabajos artesanales,Articles per a treballs artesanals,Subministraments
37820000-2,Artículos para trabajos artísticos,Articles per a treballs artístics,Subministraments
37821000-9,Pinceles para la pintura artística,Pinzells de pintura artística,Subministraments
37822000-6,Lápices de dibujo,Llapis de dibuix,Subministraments
37822100-7,Lápices de colores,Llapis de colors,Subministraments
37822200-8,Carboncillos,Carbonets,Subministraments
37822300-9,Tizas,Guixos,Subministraments
37822400-0,Colores pastel,Pastels,Subministraments
37823000-3,Papel resistente a las grasas y otros artículos de papel,Paper vegetal i altres articles de paper,Subministraments
37823100-4,Papel resistente a las grasas,Paper vegetal,Subministraments
37823200-5,Papel calco,Paper de calcar,Subministraments
37823300-6,Papel cristal,Paper cristall,Subministraments
37823400-7,Papel transparente o translúcido,Paper translúcid,Subministraments
37823500-8,Papel kraft y papel para trabajos artísticos,Paper cuixé i paper per a artesania,Subministraments
37823600-9,Papel de dibujo,Paper de dibuix,Subministraments
37823700-0,Papel para mapas,Paper cartogràfic,Subministraments
37823800-1,Papel y cartón multilaminares,Paper i cartó compostos,Subministraments
37823900-2,"Papel para caras (cubiertas) (""kraftliner"")",Paper kraft de cobertura,Subministraments
38000000-5,"Equipo de laboratorio, óptico y de precisión (excepto gafas)","Equip de laboratori, òptic i de precisió (excepte ulleres)",Subministraments
38100000-6,Instrumentos de navegación y meteorológicos,Instruments de navegació i meteorològics,Subministraments
38110000-9,Instrumentos de navegación,Instruments de navegació,Subministraments
38111000-6,Equipo de radiogoniometría,Equip de radiogoniometria,Subministraments
38111100-7,Brújulas,Brúixoles,Subministraments
38111110-0,Accesorios para brújulas,Accessoris de brúixoles,Subministraments
38112000-3,Sextantes,Sextants,Subministraments
38112100-4,Sistemas de navegación y posicionamiento globales (GPS o equivalentes),Sistemes de navegació i posicionament globals (GPS o equivalents),Subministraments
38113000-0,Sonares,Sonars,Subministraments
38114000-7,Ecosondas,Sonda acústica,Subministraments
38115000-4,Aparatos de radar,Aparells de radar,Subministraments
38115100-5,Equipo de vigilancia por radar,Equip de vigilància per radar,Subministraments
38120000-2,Instrumentos de meteorología,Instruments de meteorologia,Subministraments
38121000-9,Anemómetros,Anemòmetres,Subministraments
38122000-6,Barómetros,Baròmetres,Subministraments
38123000-3,Aparatos de registro de precipitaciones o evaporación,Aparells de registre de precipitacions o de l'evaporació,Subministraments
38124000-0,Aparatos de radiosondeo,Aparells de radiosondatge,Subministraments
38125000-7,Pluviógrafos,Pluviògrafs,Subministraments
38126000-4,Aparatos de observación en superficie,Aparells d'observació en superfície,Subministraments
38126100-5,Aparatos de observación en superficie de las precipitaciones o la evaporación,Aparells d'observació en superfície de les precipitacions o de l'evaporació,Subministraments
38126200-6,Aparatos de observación en superficie de la radiación solar,Aparells d'observació en superfície de la radiació solar,Subministraments
38126300-7,Aparatos de observación en superficie de la temperatura o la humedad,Aparells d'observació en superfície de la temperatura o la humitat,Subministraments
38126400-8,Aparatos de observación en superficie del viento,Aparells d'observació en superfície del vent,Subministraments
38127000-1,Estaciones meteorológicas,Estacions meteorològiques,Subministraments
38128000-8,Accesorios para instrumentos meteorológicos,Accessoris d'instruments meteorològics,Subministraments
38200000-7,Instrumentos geológicos y geofísicos,Instruments geològics i geofísics,Subministraments
38210000-0,Brújulas geológicas,Brúixoles geològiques,Subministraments
38220000-3,Aparatos de prospección geológica,Aparells de prospecció geològica,Subministraments
38221000-0,Sistemas de información geográfica (SIG o equivalentes),Sistemes d'informació geogràfica (SIG o equivalents),Subministraments
38230000-6,Instrumentos geofísicos electromagnéticos,Instruments geofísics electromagnètics,Subministraments
38240000-9,Instrumentos geofísicos de medición de la gravedad,Instruments geofísics de mesura de la gravetat,Subministraments
38250000-2,Instrumentos geofísicos de polarización inducida (PI),Instruments geofísics de polarització induïda,Subministraments
38260000-5,Instrumentos geofísicos de magnetometría,Instruments geofísics de magnetometria,Subministraments
38270000-8,Instrumentos geofísicos de resistividad,Instruments geofísics de resistivitat,Subministraments
38280000-1,Gravímetros,Gravímetres,Subministraments
38290000-4,"Instrumentos y aparatos de geodesia, hidrografía, oceanografía e hidrología","Instruments i aparells de telemetria, hidrografia, oceanografia i hidrologia",Subministraments
38291000-1,Telémetros,Telèmetres,Subministraments
38292000-8,Instrumentos de hidrografía,Instruments d'hidrografia,Subministraments
38293000-5,Equipo sísmico,Equip sísmic,Subministraments
38294000-2,Teodolitos,Teodolits,Subministraments
38295000-9,Equipo topográfico,Equip topogràfic,Subministraments
38296000-6,Instrumentos de geodesia,Instruments de topografia,Subministraments
38300000-8,Instrumentos de medición,Instruments de mesura,Subministraments
38310000-1,Balanzas de precisión,Balances de precisió,Subministraments
38311000-8,Básculas electrónicas y sus accesorios,Bàscules electròniques i els seus accessoris,Subministraments
38311100-9,Balanzas electrónicas analíticas,Balances electròniques analítiques,Subministraments
38311200-0,Balanzas electrónicas técnicas,Balances electròniques tècniques,Subministraments
38311210-3,Pesas de calibración,Pesos de calibratge,Subministraments
38320000-4,Mesas de dibujo,Taules de dibuix tècnic,Subministraments
38321000-1,Máquinas de dibujar,Màquines de dibuix tècnic,Subministraments
38322000-8,Pantógrafos,Pantògrafs,Subministraments
38323000-5,Reglas de cálculo,Regles de càlcul,Subministraments
38330000-7,Instrumentos de uso manual para medir longitudes,Instruments d'ús manual per mesurar longituds,Subministraments
38331000-4,Escuadras,Cartabons,Subministraments
38340000-0,Instrumentos de medida de cantidades,Instruments de mesura de quantitats,Subministraments
38341000-7,Aparatos para medir radiaciones,Aparells per mesurar radiacions,Subministraments
38341100-8,Registradores de haces electrónicos,Registradors de feixos d'electrons,Subministraments
38341200-9,Dosímetros de radiaciones,Dosímetres de radiació,Subministraments
38341300-0,Instrumentos de medida de magnitudes eléctricas,Instruments de mesura de magnituds elèctriques,Subministraments
38341310-3,Amperímetros,Amperímetres,Subministraments
38341320-6,Voltímetros,Voltímetres,Subministraments
38341400-1,Contadores geiger,Comptadors de Geiger-Müller,Subministraments
38341500-2,Aparatos para el control de la contaminación,Aparells de monitoratge de la contaminació,Subministraments
38341600-3,Monitores de radiación,Monitors de radiació,Subministraments
38342000-4,Osciloscopios,Oscil·loscopis,Subministraments
38342100-5,Oscilógrafos,Oscil·lògrafs,Subministraments
38343000-1,Instrumentos para control de errores,Instruments de monitoratge d'errors,Subministraments
38344000-8,Aparatos para el control de la polución,Aparells de monitoratge de la contaminació,Subministraments
38400000-9,Instrumentos de medida o control de características físicas,Instruments de control de característiques físiques,Subministraments
38410000-2,Instrumentos de cómputo,Instruments de mesura,Subministraments
38411000-9,Hidrómetros,Hidròmetres,Subministraments
38412000-6,Termómetros,Termòmetres,Subministraments
38413000-3,Pirómetros,Piròmetres,Subministraments
38414000-0,Higrómetros,Higròmetres,Subministraments
38415000-7,Sicrómetros,Psicròmetres,Subministraments
38416000-4,PH-metros,pH-metres,Subministraments
38417000-1,Termopares,Termoparells,Subministraments
38418000-8,Calorímetros,Calorímetres,Subministraments
38420000-5,"Instrumentos de medida del caudal, nivel y presión de líquidos y gases","Instruments de mesura del cabal, el nivell i la pressió de líquids i gasos",Subministraments
38421000-2,Equipo de medida del caudal,Equips de mesura del cabal,Subministraments
38421100-3,Contadores de agua,Comptadors d'aigua,Subministraments
38421110-6,Caudalímetros,Cabalímetres,Subministraments
38422000-9,Equipo de medida del nivel,Equips de mesura del nivell,Subministraments
38423000-6,Equipo de medida de la presión,Equips de mesura de la pressió,Subministraments
38423100-7,Manómetros,Indicadors de pressió,Subministraments
38424000-3,Equipo de medida y de control,Equip de mesura i de control,Subministraments
38425000-0,Equipo para la mecánica de fluidos,Equip per a la mecànica de fluids,Subministraments
38425100-1,Manómetros (mecánica de fluidos),Manòmetres,Subministraments
38425200-2,Viscosímetros,Viscosímetres,Subministraments
38425300-3,Indicador de profundidad,Indicadors de profunditat,Subministraments
38425400-4,Aparatos de estimación de la estructura,Aparells d'estimació de l'estructura,Subministraments
38425500-5,Aparatos de estimación de la fuerza,Aparells d'estimació de la força,Subministraments
38425600-6,Picnómetros,Picnòmetres,Subministraments
38425700-7,Instrumentos para medir la tensión superficial,Instruments de mesura de la tensió superficial,Subministraments
38425800-8,Densitómetros,Densitòmetres,Subministraments
38426000-7,Culombímetros,Coulombímetres,Subministraments
38427000-4,Fluxómetros,Fluxòmetres,Subministraments
38428000-1,Reómetros,Reòmetres,Subministraments
38429000-8,Rotámetros,Rotàmetres,Subministraments
38430000-8,Aparatos de detección y análisis,Aparells de detecció i anàlisi,Subministraments
38431000-5,Aparatos detectores,Aparells de detecció,Subministraments
38431100-6,Aparatos detectores de gas,Detectors de gas,Subministraments
38431200-7,Aparatos detectores de humos,Detectors de fums,Subministraments
38431300-8,Buscafugas,Detectors d'errors,Subministraments
38432000-2,Aparatos de análisis,Aparells d'anàlisi,Subministraments
38432100-3,Aparatos analizadores de gas,Analitzadors de gas,Subministraments
38432200-4,Cromatógrafos,Cromatògrafs,Subministraments
38432210-7,Cromatógrafos de gas,Cromatògrafs de gasos,Subministraments
38432300-5,Aparatos analizadores de humos,Analitzadors de fums,Subministraments
38433000-9,Espectrómetros,Espectròmetres,Subministraments
38433100-0,Espectrómetros de masas,Espectròmetres de masses,Subministraments
38433200-1,Equipo de medir emisiones,Equip de mesura d'emissions,Subministraments
38433210-4,Espectrómetros de emisión,Espectròmetres d'emissió,Subministraments
38433300-2,Analizador de espectro,Analitzador d'espectre,Subministraments
38434000-6,Analizadores,Analitzadors,Subministraments
38434100-7,Analizadores de dilatación,Analitzadors de dilatació,Subministraments
38434200-8,Equipo de sonometría,Equip de mesura del so,Subministraments
38434210-1,Sonómetros,Sonòmetres,Subministraments
38434220-4,Analizadores de velocidad del sonido,Analitzadors de la velocitat del so,Subministraments
38434300-9,Equipo medidor del ruido,Equip mesurador de soroll,Subministraments
38434310-2,Aparatos para medir decibelios,Decibelímetres,Subministraments
38434400-0,Analizadores de vibraciones,Analitzadors de vibracions,Subministraments
38434500-1,Analizadores bioquímicos,Analitzadors bioquímics,Subministraments
38434510-4,Citómetros,Citòmetres,Subministraments
38434520-7,Analizadores de sangre,Analitzadors de sang,Subministraments
38434530-0,Analizadores de leche,Analitzadors de llet,Subministraments
38434540-3,Equipo biomédico,Equip biomèdic,Subministraments
38434550-6,Contadores de células sanguíneas,Comptadors de cèl·lules sanguínies,Subministraments
38434560-9,Analizador químico,Analitzador químic,Subministraments
38434570-2,Analizadores hematológicos,Analitzadors hematològics,Subministraments
38434580-5,Analizadores de inmunoensayo,Analitzadors d'immunoassaig,Subministraments
38435000-3,Aparatos de detección de fluidos,Detectors de fluids,Subministraments
38436000-0,Agitadores y sus accesorios,Agitadors i accessoris,Subministraments
38436100-1,Agitadores mecánicos,Agitadors mecànics,Subministraments
38436110-4,Cestas de matraces Erlenmeyer para agitadores,Cistelles de matrassos d'Erlenmeyer per a agitadors,Subministraments
38436120-7,Soportes de matraz Erlenmeyer para agitadores,Suports de matrassos d'Erlenmeyer per a agitadors,Subministraments
38436130-0,Soportes de embudos de decantación,Suports d'embuts de decantació,Subministraments
38436140-3,Plataformas para soportes de matraz Erlenmeyer para agitadores,Plataformes per a suports de matrassos d'Erlenmeyer per a agitadors,Subministraments
38436150-6,Soportes de placas de Petri para agitadores,Suports de plaques de Petri per a agitadors,Subministraments
38436160-9,Soportes de tubos de ensayo para agitadores,Suports de tubs d'assaig per a agitadors,Subministraments
38436170-2,Adaptador de matraz para agitadores,Adaptador de matrassos per a agitadors,Subministraments
38436200-2,Evaporadores rotatorios,Evaporadors rotatoris,Subministraments
38436210-5,Pantalla de protección para evaporadores rotatorios,Pantalla de protecció per a evaporadors rotatoris,Subministraments
38436220-8,Sensores de temperatura de ebullición para evaporadores rotatorios,Sensors de temperatura d'ebullició per a evaporadors rotatoris,Subministraments
38436230-1,Regulador de presión para evaporadores rotatorios,Regulador de pressió per a evaporadors rotatoris,Subministraments
38436300-3,Agitadores de incubación,Agitadors d'incubació,Subministraments
38436310-6,Placas térmicas,Plaques calefactores,Subministraments
38436320-9,Placas térmicas para matraces,Plaques calefactores per a matrassos,Subministraments
38436400-4,Agitadores magnéticos,Agitadors magnètics,Subministraments
38436410-7,Reguladores térmicos para agitadores mecánicos con placas térmicas,Reguladors tèrmics per a agitadors mecànics amb plaques calefactores,Subministraments
38436500-5,Mezcladores mecánicos,Mescladors mecànics,Subministraments
38436510-8,Rotores de paletas para mezcladores mecánicos,Rotors de paletes per a mescladors mecànics,Subministraments
38436600-6,Homogeneizadores de inmersión,Homogeneïtzadors d'immersió,Subministraments
38436610-9,Instrumentos de dispersión para homogeneizadores de inmersión,Instruments de dispersió per a homogeneïtzadors d'immersió,Subministraments
38436700-7,Desintegrador ultrasónico,Desintegradors ultrasònics,Subministraments
38436710-0,Sondas para desintegradores ultrasónicos,Sondes per a desintegradors ultrasònics,Subministraments
38436720-3,Convertidores para desintegradores ultrasónicos,Convertidors per a desintegradors ultrasònics,Subministraments
38436730-6,Cámaras de flujo continuo para desintegradores ultrasónicos,Cambres de flux continu per a desintegradors ultrasònics,Subministraments
38436800-8,Homogeneizadores de paletas rotatorias,Homogeneïtzadors de paletes rotatòries,Subministraments
38437000-7,Pipetas de laboratorio y sus accesorios,Pipetes de laboratori i accessoris,Subministraments
38437100-8,Pipetas,Pipetes,Subministraments
38437110-1,Puntas de pipeta,Puntes de pipeta,Subministraments
38437120-4,Soportes de pipeta,Suports de pipeta,Subministraments
38500000-0,Aparatos de control y prueba,Aparells de control i prova,Subministraments
38510000-3,Microscopios,Microscopis,Subministraments
38511000-0,Microscopios electrónicos,Microscopis electrònics,Subministraments
38511100-1,Microscopios electrónicos de barrido,Microscopis electrònics de rastreig,Subministraments
38511200-2,Microscopio electrónico de transmisión,Microscopi electrònic de transmissió,Subministraments
38512000-7,Microscopios de iones y moleculares,Microscopis d'ions i moleculars,Subministraments
38512100-8,Microscopios de iones,Microscopis d'ions,Subministraments
38512200-9,Microscopios moleculares,Microscopis moleculars,Subministraments
38513000-4,Microscopios invertidos y metalográficos,Microscopis invertits i metal·logràfics,Subministraments
38513100-5,Microscopios invertidos,Microscopis invertits,Subministraments
38513200-6,Microscopios metalográficos,Microscopis metal·logràfics,Subministraments
38514000-1,Microscopios de campo oscuro y de sonda de barrido,Microscopis de camp fosc i de sonda de rastreig,Subministraments
38514100-2,Microscopios de campo oscuro,Microscopis de camp fosc,Subministraments
38514200-3,Microscopios de sonda de barrido,Microscopis de sonda de rastreig,Subministraments
38515000-8,Microscopios de fluorescencia y polarizantes,Microscopis de fluorescència i polaritzants,Subministraments
38515100-9,Microscopios polarizantes,Microscopis polaritzants,Subministraments
38515200-0,Microscopios de fluorescencia,Microscopis de fluorescència,Subministraments
38516000-5,Microscopios ópticos compuestos monoculares o binoculares,Microscopis compostos monoculars o binoculars,Subministraments
38517000-2,Microscopios acústicos y de proyección,Microscopis acústics i de projecció,Subministraments
38517100-3,Microscopios acústicos,Microscopis acústics,Subministraments
38517200-4,Microscopios de proyección,Microscopis de projecció,Subministraments
38518000-9,Microscopios de campo amplio y estereoscópicos,"Microscopis de camp ampli, estereoscòpics o de dissecció",Subministraments
38518100-0,Microscopios de campo amplio,Microscopis de camp ampli,Subministraments
38518200-1,Microscopios estereoscópicos,Microscopis estereoscòpics,Subministraments
38519000-6,Compuestos diversos para microscopios,Compostos diversos per a microscopis,Subministraments
38519100-7,Iluminadores para microscopios,Il·luminadors per a microscopis,Subministraments
38519200-8,Objetivos de microscopio,Objectius de microscopi,Subministraments
38519300-9,Dispositivos fotográficos o de vídeo para microscopios,Dispositius fotogràfics o de vídeo per a microscopis,Subministraments
38519310-2,Dispositivos fotográficos para microscopios,Dispositius fotogràfics per a microscopis,Subministraments
38519320-5,Dispositivos de vídeo para microscopios,Dispositius de vídeo per a microscopis,Subministraments
38519400-0,Platinas automáticas de microscopio,Platines automàtiques de microscopi,Subministraments
38519500-1,Bombillas de repuesto para microscopio de laboratorio,Bombetes de recanvi per a microscopi de laboratori,Subministraments
38519600-2,"Oculares, condensadores, lentes colectoras, tubos, platinas y fundas para microscopio","Oculars, condensadors, lents col·lectores, tubs, platines i fundes per a microscopi",Subministraments
38519610-5,Oculares de microscopio,Oculars de microscopi,Subministraments
38519620-8,Condensadores de microscopio,Condensadors de microscopi,Subministraments
38519630-1,Lentes colectoras de microscopio,Lents col·lectores de microscopi,Subministraments
38519640-4,Tubos de microscopio,Tubs de microscopi,Subministraments
38519650-7,Platinas de microscopio,Platines de microscopi,Subministraments
38519660-0,Fundas para microscopio,Fundes de microscopi,Subministraments
38520000-6,Escáneres,Escàners,Subministraments
38521000-3,Escáneres de presión,Escàners de pressió,Subministraments
38522000-0,Escáneres cromatográficos,Escàners cromatogràfics,Subministraments
38527100-6,Dosímetros con cámaras de ionización,Dosímetres amb càmeres d'ionització,Subministraments
38527200-7,Dosímetros,Dosímetres,Subministraments
38527300-8,Sistemas de dosimetría de patrón secundario,Sistemes de dosimetria de patró secundari,Subministraments
38527400-9,Dosímetros para maniquí,Dosímetres per a fantasma,Subministraments
38530000-9,Difractógrafos,Aparell d'observació de la difracció,Subministraments
38540000-2,Máquinas y aparatos de pruebas y medida,Màquines i aparells de proves i mesura,Subministraments
38541000-9,Equipos de ensayo de soldabilidad,Equips d'assaig de soldabilitat,Subministraments
38542000-6,Aparatos servohidráulicos de pruebas,Aparells servohidràulics de proves,Subministraments
38543000-3,Equipo de detección de gases,Equip de detecció de gasos,Subministraments
38544000-0,Aparatos detectores de drogas,Detectors de drogues,Subministraments
38545000-7,Kits para análisis de gases,Equips d'anàlisi de gasos,Subministraments
38546000-4,Sistema de detección de explosivos,Sistema de detecció d'explosius,Subministraments
38546100-5,Detectores de bombas,Detectors de bombes,Subministraments
